"Addresses"
"3509 Carlton Court, Sachse, TX 75048-2394"
"12819 Ridge Spring Drive, Frisco, TX 75035"
"1560 Karen Drive, Argyle, TX 76226-2946"
"15824 Gardenia Road, Frisco, TX 75033"
"3694 Copper Point Lane, Frisco, TX 75034-0760"
"5561 Glenview LaneThe Colony, TX 75056-3785"
"2812 Meadow Wood DriveFlower Mound, TX 75022-6732"
"9024 Violet Drive, Lantana, TX 76226-1937"
"931 Birdsong Drive, Allen, TX 75013-5839"
"2928 Hackberry Creek Trail, Celina, TX 75078-9638"
"3415 Maggie Road, Melissa, TX 75454-0168"
"4465 Sandy Water Lane, Plano, TX 75024-7714"
"8609 Orchard Hill Drive, Plano, TX 75025-4793"
"3332 Timber Brook Drive, Plano, TX 75074-8746"
"5101 Shallow Pond DriveLittle Elm, TX 76227-1938"
"427 Long Cove Drive, Fairview, TX 75069-1957"
"1408 Anna Marie Lane, Allen, TX 75013-2810"
"621 Logans Way Drive, Prosper, TX 75078-2527"
"3012 Martha Drive, Wylie, TX 75098-8122"
