"Addresses"
"348 Parkside Ct, Murphy, TX 75094"
"2516 Little Creek Dr, Richardson, TX 75080"
"7440 Daffodil Way, Frisco, TX 75033"
"6619 Flanary Ln, Dallas, TX 75252"
"8500 Arbor Creek Ln, McKinney, TX 75072"
"9517 Edgeway Cir, Rowlett, TX 75089"
"648 Burning Oak Dr, Frisco, TX 75036"
"1516 Brimwood Dr, McKinney, TX 75072"
"9602 Fairway Vista Dr, Rowlett, TX 75089"
"2600 Cedarbrook Ln, Prosper, TX 75078"
"1702 Splinter Dr, Wylie, TX 75098"
"1120 Circle J Trl, Prosper, TX 75078"
"804 Overton Ave, Celina, TX 75009"
"4625 Oak Shores Dr, Plano, TX 75024"
"7207 Hunters Ridge Dr, Dallas, TX 75248"
"917 Cross Plains Dr, Allen, TX 75013"
"1601 Bryce Canyon Ln, Allen, TX 75002"
"13720 Posada Dr, Frisco, TX 75035"
"3300 Canoncita Ln, Plano, TX 75023"
"9715 Edgeway Cir, Rowlett, TX 75089"
"7712 Turnberry Ln, Dallas, TX 75248"
"3213 Greenleaf Ct, Garland, TX 75044"
"6811 Bradford Estates Dr, Sachse, TX 75048"
"2107 Springcress Dr, McKinney, TX 75072"
"11401 Beckton St, McKinney, TX 75071"
"4527 Parkridge Cir, Sachse, TX 75048"
"720 Sterling Dr, Murphy, TX 75094"
"328 Banbury Dr, Murphy, TX 75094"
"2823 N Surrey Dr, Carrollton, TX 75006"
"702 Lone Star Ct, Wylie, TX 75098"
"6217 Dewitt St, Sachse, TX 75048"
"511 Sun Meadow Dr, Wylie, TX 75098"
