"Addresses"
"4130 Kate Dr, Frisco, TX 75034"
"190 Shennendoah Ln, Rockwall, TX 75087"
"7813 Evening Star Dr, Rowlett, TX 75089"
"712 Chapel Ct, Allen, TX 75002"
"5978 County Road 471, Mc, Kinney, TX 75071"
"715 Cross Fence Dr, Lowry Crossing, TX 75069"
"7134 Hunt Ln, Rockwall, TX 75087"
"6501 Cartier Ct, Mc, Kinney, TX 75072"
"11578 County Road 736, Princeton, TX 75407"
"509 Angle Ridge Dr, Murphy, TX 75094"
"1600 Country Walk Ln, Wylie, TX 75098"
"11076 Saguaro St, Frisco, TX 75033"
"304 Harvard Dr, Princeton, TX 75407"
"2700 Club Ridge Dr #10, Lewisville, TX 75067"
"5209 Trail House Way, Mc, Kinney, TX 75071"
"414 Overland Trl, Mc, Kinney, TX 75071"
