"Addresses"
"1920 Fountain Spray Dr, Wylie, TX"
"3808 Bluff Creek Ln, Mckinney, TX"
"506 Comanche Trl, Plano, TX"
"731 Trail Dr, Prosper, TX"
"1209 Oakley Dr, Murphy, TX"
"1002 Tyler Trl, Wylie, TX"
"3800 Oxbow Creek Ln, Plano, TX"
"9208 Hunter Chase Dr, Mckinney, TX"
"1831 Morning Mist Way, Wylie, TX"
"2404 Green Meadow Dr, Sachse, TX"
"630 Gene Autry Ln, Plano, TX"
"1908 Lorraine Ave, Allen, TX"
"1502 Miracle Mile, Wylie, TX"
"136 Collin Ct, Murphy, TX"
"3222 Berry Holw, Melissa, TX"
"325 Daleport Dr, Murphy, TX"
"3000 Charles Dr, Wylie, TX"
"118 Echo Ridge Ln, Murphy, TX"
"261 Wedgewood Way, Lucas, TX"
"2002 Blue Water Trl, Wylie, TX"
"2040 Hacienda Heights Ln, Frisco, TX"
"841 Willowmist Dr, Prosper, TX"
"529 Quarter Horse Ln, Frisco, TX"
"7909 Sawgrass Dr, Mckinney, TX"
